highway;other_tags;ame_d;ame_g
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2020-08"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""Piste cyclable temporaire"",""lanes""=>""1"",""oneway""=>""yes"",""surface""=>""asphalt"",""was:lanes""=>""2""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""track"",""description:covid19""=>""Piste cyclable temporaire"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
secondary;"""bridge""=>""yes"",""cycleway""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lanes:forward""=>""2"",""layer""=>""1"",""maxspeed""=>""30"",""overtaking""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway:left""=>""lane"",""cycleway:left:lane""=>""exclusive"",""cycleway:left:oneway""=>""-1"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""parking:lane:both""=>""parallel"",""sidewalk""=>""both"",""start_date""=>""2021-06-31"",""surface""=>""asphalt""";BANDE CYCLABLE;DOUBLE SENS CYCLABLE BANDE
service;"""bicycle""=>""yes"",""cycleway:right""=>""lane"",""destination:forward""=>""Esplnanade de l'Europe"",""maxspeed""=>""30""";BANDE CYCLABLE;AUCUN
service;"""access""=>""no"",""bicycle""=>""yes"",""bridge""=>""yes"",""layer""=>""1"",""loc_name""=>""Pont de Sète"",""maxspeed""=>""30"",""oneway""=>""yes"",""psv""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
tertiary;"""cycleway:left""=>""lane"",""cycleway:left:lane""=>""exclusive"",""cycleway:right""=>""no"",""maxspeed""=>""30""";AUCUN;BANDE CYCLABLE
secondary;"""cycleway:left""=>""share_busway"",""cycleway:right""=>""no"",""cycleway:right:lane""=>""advisory"",""lanes""=>""2"",""lanes:backward""=>""1"",""maxspeed""=>""30"",""oneway""=>""no"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";AUCUN;COULOIR BUS+VELO
secondary;"""busway:left""=>""lane"",""cycleway:left""=>""share_busway"",""cycleway:right""=>""lane"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:urban"",""parking:lane:right""=>""parallel"",""sidewalk""=>""both"",""surface""=>""asphalt""";BANDE CYCLABLE;COULOIR BUS+VELO
primary;"""cyclability""=>""good"",""cycleway:right""=>""track"",""description:covid19""=>""pistes cyclables temporaires"",""maxspeed""=>""50"",""oneway""=>""yes"",""source:maxspeed""=>""sign""";PISTE CYCLABLE;AUCUN
primary;"""cycleway:right""=>""lane"",""maxspeed""=>""70"",""oneway""=>""yes"",""ref""=>""M 65"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
primary;"""cycleway:both""=>""lane"",""cycleway:both:lane""=>""advisory"",""maxspeed""=>""70"",""ref""=>""M 65"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
