highway;other_tags;ame_d;ame_g
secondary;"""cycleway:right""=>""lane"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
footway;"""bicycle""=>""yes"",""foot""=>""designated"",""footway""=>""sidewalk"",""segregated""=>""no""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
path;"""bicycle""=>""designated"",""description""=>""2010/NT/R/DGU-P487"",""foot""=>""designated"",""surface""=>""ground""";VOIE VERTE;VOIE VERTE
cycleway;"""cycleway""=>""sidewalk"",""lit""=>""yes"",""oneway:bicycle""=>""no"",""source:width""=>""ARCore"",""surface""=>""asphalt"",""width""=>""2""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lane_markings""=>""no"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""horse""=>""permissive"",""lit""=>""no"",""motor_vehicle""=>""no"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""horse""=>""permissive"",""motor_vehicle""=>""no"",""oneway""=>""no"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""motor_vehicle""=>""no"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""yes"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""cycleway:right""=>""track"",""cycleway:right:segregated""=>""no"",""junction""=>""roundabout"",""lane_markings""=>""no"",""maxspeed""=>""30"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""lane"",""junction""=>""roundabout"",""lanes""=>""2"",""maxspeed""=>""30"",""ref:MMM""=>""M 127""";BANDE CYCLABLE;AUCUN
secondary;"""admin_level""=>""10"",""cycleway:both""=>""lane"",""cycleway:both:lane""=>""exclusive"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""no"",""parking:lane:both""=>""parallel"",""source:maxspeed""=>""FR:urban"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
secondary;"""admin_level""=>""10"",""cycleway:both""=>""lane"",""cycleway:both:lane""=>""exclusive"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""no"",""parking:lane:right""=>""parallel"",""sidewalk""=>""both"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
tertiary;"""bicycle""=>""yes"",""cycleway""=>""lane"",""maxspeed""=>""80"",""ref""=>""M 112"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
cycleway;"""bicycle""=>""yes"",""description""=>""2010/NT/R/DGU-P487"",""foot""=>""yes"",""surface""=>""paving_stones""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bridge""=>""yes"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""admin_level""=>""11"",""boundary""=>""administrative"",""cycleway:left""=>""no"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lanes""=>""2"",""maxspeed""=>""30"",""parking:lane:both""=>""parallel"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:left""=>""no"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""maxspeed""=>""30"",""oneway""=>""no"",""parking:lane:both""=>""parallel"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:left""=>""no"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""advisory"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
cycleway;"""cycleway""=>""sidewalk"",""cycleway:surface""=>""asphalt"",""foot""=>""yes"",""footway:surface""=>""asphalt"",""lit""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""alt_name""=>""Avenue du Professeur Louis Ravaz"",""cycleway""=>""lane"",""maxspeed""=>""30"",""opening_hours""=>""Mo-Su 06:00-20:00"",""opening_hours:covid19""=>""Mo-Su 06:00-20:00"",""source:opening_hours:covid19""=>""https://www.openstreetmap.org/note/2139860""";BANDE CYCLABLE;BANDE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""lit""=>""yes"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
service;"""motorcar""=>""no""";AUTRE;AUTRE
cycleway;"""foot""=>""yes"",""oneway""=>""yes"",""segregated""=>""no"",""smoothness""=>""good"",""surface""=>""concrete""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""yes"",""segregated""=>""yes"",""surface""=>""paved""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""access""=>""no"",""bicycle""=>""designated"",""foot""=>""yes"",""lit""=>""yes"",""motor_vehicle""=>""no"",""oneway""=>""yes"",""ref:MMM""=>""2014-P129""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""yes"",""oneway""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;AUCUN
tertiary;"""cycleway:right""=>""lane"",""lanes""=>""3"",""lanes:forward""=>""2"",""maxspeed""=>""30""";BANDE CYCLABLE;AUCUN
cycleway;"""cycleway:surface""=>""asphalt"",""foot""=>""yes"",""footway:surface""=>""asphalt"",""oneway""=>""no"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""cycleway""=>""opposite"",""maxspeed""=>""30"",""oneway""=>""yes"",""sidewalk""=>""right"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
residential;"""cycleway:left""=>""lane"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;BANDE CYCLABLE
residential;"""cycleway:right""=>""lane"",""lit""=>""yes"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""segregated""=>""no"",""surface""=>""paved""";PISTE CYCLABLE;PISTE CYCLABLE
track;"""bicycle""=>""yes"",""bridge""=>""yes"",""foot""=>""yes"",""horse""=>""yes"",""motor_vehicle""=>""no"",""surface""=>""asphalt"",""tracktype""=>""grade1""";AUTRE;AUTRE
cycleway;"""foot""=>""yes"",""oneway""=>""no"",""segregated""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""admin_level""=>""11"",""alt_name""=>""Avenue François Delmas"",""boundary""=>""administrative"",""cycleway:right""=>""lane"",""lanes""=>""4"",""old_name""=>""Avenue de Nîmes"",""political_division""=>""canton""";BANDE CYCLABLE;AUCUN
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:right""=>""lane"",""lanes""=>""4"",""old_name""=>""Avenue de Nîmes"",""political_division""=>""canton""";BANDE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""yes"",""cycleway""=>""sidewalk""";PISTE CYCLABLE;PISTE CYCLABLE
footway;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
secondary;"""alt_name""=>""Avenue de l'École d'Agriculture-Gabriel Buchet"",""cycleway:right""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""advisory"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
tertiary;"""cycleway:right""=>""lane"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:left""=>""no"",""cycleway:right""=>""no"",""lit""=>""yes"",""maxspeed""=>""10"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""sidewalk""=>""both"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
path;"""bicycle""=>""designated"",""surface""=>""paved""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
living_street;"""maxspeed""=>""20"",""oneway""=>""yes"",""oneway:bicycle""=>""no""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
secondary;"""admin_level""=>""11"",""boundary""=>""administrative"",""cycleway:left""=>""no"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""no"",""parking:lane:right""=>""parallel"",""sidewalk""=>""both"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
tertiary;"""bridge""=>""yes"",""cycleway""=>""lane"",""layer""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""description""=>""2010/NT/R/DGU-P503"",""foot""=>""designated"",""motor_vehicle""=>""no"",""segregated""=>""no"",""smoothness""=>""good"",""surface""=>""fine_gravel"",""wheelchair""=>""yes""";VOIE VERTE;VOIE VERTE
footway;"""bicycle""=>""designated"",""description""=>""2010/NT/R/DGU-P400"",""horse""=>""no""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""cycleway:surface""=>""concrete"",""description""=>""2011/NT/R/DGU-P 128"",""foot""=>""designated"",""footway:surface""=>""concrete"",""lit""=>""yes"",""oneway""=>""no"",""segregated""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""footway""=>""sidewalk"",""segregated""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""lit""=>""yes"",""segregated""=>""no"",""smoothness""=>""intermediate"",""surface""=>""concrete:plates""";VOIE VERTE;VOIE VERTE
cycleway;"""lit""=>""yes"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""segregated"",""lit""=>""yes"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
service;"""access""=>""no"",""bicycle""=>""yes"",""bridge""=>""yes"",""layer""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""psv""=>""yes"",""surface""=>""paved""";COULOIR BUS+VELO;AUCUN
cycleway;"""lit""=>""yes"",""surface""=>""concrete"",""width""=>""2.5""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""junction""=>""roundabout"",""lanes""=>""3"",""surface""=>""asphalt"",""turn:lanes""=>""slight_left|through|through""";COULOIR BUS+VELO;AUCUN
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""junction""=>""roundabout"",""lanes""=>""3"",""surface""=>""asphalt"",""turn:lanes""=>""slight_left|through|through;right""";COULOIR BUS+VELO;AUCUN
residential;"""cycleway""=>""lane"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
residential;"""cycleway:left""=>""lane"",""description""=>""2016-P98"",""lit""=>""yes"",""maxspeed""=>""30""";AUCUN;BANDE CYCLABLE
cycleway;"""description""=>""2010/NT/R/DGU-P408"",""lit""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""description""=>""2014-P112"",""lit""=>""yes"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""foot""=>""yes"",""segregated""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""foot""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""3"",""maxspeed""=>""30"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2020-08"",""surface""=>""asphalt"",""turn:lanes""=>""left|through|through""";COULOIR BUS+VELO;AUCUN
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2020-08"",""surface""=>""asphalt"",""turn:lanes""=>""through|through;right""";COULOIR BUS+VELO;AUCUN
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""foot""=>""yes"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2020-08"",""surface""=>""asphalt"",""turn:lanes""=>""through|through;right""";COULOIR BUS+VELO;AUCUN
secondary;"""cycleway""=>""track"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""lanes:forward""=>""2"",""maxspeed""=>""30"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""lit""=>""yes"",""oneway""=>""yes"",""surface""=>""concrete""";PISTE CYCLABLE;AUCUN
residential;"""cycleway""=>""lane"",""cycleway:right""=>""lane"",""junction""=>""roundabout"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
footway;"""bicycle""=>""yes"",""footway""=>""sidewalk"",""lit""=>""yes"",""smoothness""=>""good"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
secondary;"""cycleway:right""=>""lane"",""junction""=>""roundabout"",""maxspeed""=>""30""";BANDE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""no"",""lanes""=>""1"",""maxspeed""=>""30"",""motor_vehicle""=>""no"",""oneway""=>""yes"",""surface""=>""asphalt""";AUTRE;AUCUN
residential;"""cycleway:left""=>""opposite"",""cycleway:right""=>""lane"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""sidewalk""=>""both"",""surface""=>""asphalt""";BANDE CYCLABLE;DOUBLE SENS CYCLABLE NON MATERIALISE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""designated"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
tertiary;"""cycleway:right""=>""lane"",""junction""=>""roundabout"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
cycleway;"""foot""=>""no"",""horse""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""lcn""=>""yes"",""lit""=>""no"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
living_street;"""cycleway""=>""opposite_lane"",""lit""=>""yes"",""maxspeed""=>""20"",""oneway""=>""yes"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE BANDE
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""destination:lanes""=>""|Square Jean Monnet"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2021-01-28"",""surface""=>""asphalt"",""turn:lanes""=>""none|none;right""";COULOIR BUS+VELO;AUCUN
secondary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""maxspeed""=>""30"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2021-01-28"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
tertiary;"""bicycle""=>""yes"",""cycleway:left""=>""opposite_lane"",""lanes""=>""1"",""maxspeed""=>""30"",""oneway""=>""yes"",""parking:lane:right""=>""parallel"",""start_date:cycleway:left""=>""2021-01-28"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE BANDE
tertiary;"""bicycle""=>""yes"",""cycleway:left""=>""opposite_lane"",""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""start_date:cycleway:left""=>""2021-01-28"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE BANDE
cycleway;"""cycleway:surface""=>""asphalt"",""foot""=>""yes"",""footway:surface""=>""asphalt"",""oneway""=>""yes"",""segregated""=>""yes""";PISTE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""horse""=>""designated""";VOIE VERTE;VOIE VERTE
footway;"""bicycle""=>""designated"",""foot""=>""designated"",""lcn""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
secondary;"""cycleway:right""=>""track"",""lanes""=>""2"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""surface""=>""compacted""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""yes"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""yes"",""cycleway""=>""sidewalk"",""foot""=>""designated""";PISTE CYCLABLE;PISTE CYCLABLE
footway;"""bicycle""=>""yes"",""footway""=>""sidewalk"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""oneway""=>""no"",""surface""=>""concrete""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway:surface""=>""asphalt"",""footway:surface""=>""asphalt"",""oneway""=>""no"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""foot""=>""no"",""horse""=>""no"",""oneway""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""horse""=>""designated"",""path""=>""crossing""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
residential;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway""=>""opposite_lane"",""cycleway:left""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes""";AUCUN;DOUBLE SENS CYCLABLE BANDE
steps;"""handrail""=>""both"",""incline""=>""up"",""ramp""=>""yes"",""ramp:bicycle""=>""yes"",""step_count""=>""13"",""surface""=>""concrete""";GOULOTTE;GOULOTTE
cycleway;"""foot""=>""yes"",""lit""=>""yes"",""oneway""=>""yes"",""segregated""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
cycleway;"""foot""=>""yes"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""motor_vehicle""=>""no"",""surface""=>""paved""";VOIE VERTE;VOIE VERTE
residential;"""cycleway:both""=>""lane"",""cycleway:both:lane""=>""exclusive"",""lit""=>""yes"",""maxspeed""=>""30"",""surface""=>""asphalt""";BANDE CYCLABLE;BANDE CYCLABLE
residential;"""cycleway""=>""lane"",""lit""=>""yes"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
service;"""emergency""=>""yes"",""lit""=>""yes"",""maxspeed""=>""30"",""motor_vehicle""=>""no"",""surface""=>""concrete""";AUTRE;AUTRE
path;"""bicycle""=>""designated"",""bridge""=>""yes"",""description""=>""2010/NT/R/DGU-P393"",""foot""=>""designated"",""horse""=>""no"",""layer""=>""1"",""lit""=>""yes"",""segregated""=>""no"",""surface""=>""concrete""";VOIE VERTE;VOIE VERTE
path;"""bicycle""=>""designated"",""description""=>""2010/NT/R/DGU-P393"",""foot""=>""designated"",""horse""=>""no"",""lit""=>""yes"",""segregated""=>""no"",""surface""=>""concrete""";VOIE VERTE;VOIE VERTE
path;"""bicycle""=>""designated"",""foot""=>""designated"",""horse""=>""no"",""lit""=>""yes"",""ref:MMM""=>""2010/NT/R/DGU-P395"",""segregated""=>""no"",""surface""=>""concrete""";VOIE VERTE;VOIE VERTE
footway;"""bicycle""=>""yes"",""footway""=>""sidewalk"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""bridge""=>""yes"",""cycleway:surface""=>""wood"",""footway:surface""=>""wood"",""oneway""=>""no"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""check_date:smoothness""=>""2022-11-01"",""smoothness""=>""good"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""cycleway""=>""track"",""cycleway:both""=>""no"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""2"",""maxspeed""=>""30"",""overtaking""=>""no"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""lit""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;PISTE CYCLABLE
service;"""bicycle""=>""yes"",""cycleway""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
primary_link;"""cycleway:both""=>""track""";PISTE CYCLABLE;PISTE CYCLABLE
primary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""lanes""=>""3"",""maxspeed""=>""50"",""oneway""=>""yes"",""ref:FR:FANTOIR""=>""341722415S"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
secondary;"""bicycle""=>""yes"",""cyclability""=>""inadvisable"",""cycleway:right""=>""lane"",""cycleway:right:lane""=>""advisory"",""lane_markings""=>""no"",""maxspeed""=>""30"",""oneway""=>""yes"",""source:maxspeed""=>""sign"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
cycleway;"""bicycle""=>""designated"",""foot""=>""designated"",""oneway""=>""no""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""foot""=>""yes"",""segregated""=>""yes"",""tunnel""=>""building_passage""";PISTE CYCLABLE;PISTE CYCLABLE
cycleway;"""cycleway""=>""sidewalk"",""foot""=>""yes"",""oneway""=>""no"",""segregated""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
footway;"""bicycle""=>""designated"",""foot""=>""designated"",""incline""=>""up"",""motor_vehicle""=>""no"",""surface""=>""asphalt""";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE
cycleway;"""bicycle""=>""designated"",""cycleway""=>""sidewalk"",""foot""=>""designated"",""lit""=>""yes""";PISTE CYCLABLE;PISTE CYCLABLE
secondary;"""admin_level""=>""10"",""boundary""=>""administrative"",""cycleway:right""=>""lane"",""lanes""=>""3"",""maxspeed""=>""30"",""oneway""=>""no"",""parking:lane:both""=>""parallel"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
secondary;"""bicycle""=>""yes"",""cycleway:right""=>""track"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""maxspeed:type""=>""sign"",""oneway""=>""yes"",""start_date:cycleway:right""=>""2021-01-28"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""lane"",""cycleway:right:lane""=>""exclusive"",""lane_markings""=>""no"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";BANDE CYCLABLE;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway""=>""no"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""3"",""lanes:bus""=>""1"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway""=>""no"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""lanes:bus""=>""1"",""lit""=>""yes"",""maxspeed""=>""50"",""oneway""=>""yes"",""overtaking""=>""no"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
primary;"""cyclability""=>""inadvisable"",""cycleway""=>""no"",""cycleway:right""=>""share_busway"",""description:covid19""=>""pistes cyclables temporaires"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""50"",""oneway""=>""yes"",""parking:lane:right""=>""parallel"",""surface""=>""asphalt"",""turn:lanes""=>""left|through|through;right""";COULOIR BUS+VELO;AUCUN
primary;"""cycleway:right""=>""share_busway"",""description:covid19""=>""piste cyclable temporaire"",""destination""=>""TOUTES DIRECTIONS;GANGES;LES CÉVENNES;MOSSON;C.H.R.U de Montpellier"",""destination:colour""=>""green;white;white;white;white"",""destination:ref""=>""A9 A75;;;;"",""destination:symbol""=>""airport;;;;hospital"",""lanes""=>""2"",""maxspeed""=>""50"",""oneway""=>""yes"",""ref:FR:FANTOIR""=>""341722415S"",""surface""=>""asphalt""";COULOIR BUS+VELO;AUCUN
tertiary;"""cycleway""=>""lane"",""junction""=>""roundabout"",""maxspeed""=>""30""";BANDE CYCLABLE;AUCUN
tertiary;"""cycleway""=>""lane"",""maxspeed""=>""30"",""oneway""=>""yes"",""traffic_calming""=>""table""";BANDE CYCLABLE;AUCUN
path;"""bicycle""=>""designated"",""foot""=>""designated"",""footway""=>""sidewalk"",""segregated""=>""yes""";VOIE VERTE;VOIE VERTE
secondary;"""cycleway:right""=>""track"",""lanes""=>""3"",""maxspeed""=>""30"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
secondary;"""cycleway:right""=>""track"",""lanes""=>""2"",""maxspeed""=>""30"",""maxspeed:type""=>""FR:urban"",""oneway""=>""yes"",""surface""=>""asphalt""";PISTE CYCLABLE;AUCUN
residential;"""cycleway:both""=>""no"",""lane_markings""=>""no"",""maxspeed""=>""30"",""oneway""=>""yes"",""oneway:bicycle""=>""no"",""source:maxspeed""=>""FR:urban"",""surface""=>""asphalt""";AUCUN;DOUBLE SENS CYCLABLE NON MATERIALISE
tertiary;"""cycleway""=>""lane"",""oneway""=>""yes""";BANDE CYCLABLE;AUCUN
